id,target
0,24339821.99046707
1,8709359.50693798
2,12320760.48278761
3,-3117626.1971712112
4,-6129400.649764538
5,10116830.187921047
6,-4264887.178699493
7,9771091.3391819
8,17358869.80662203
9,-834765.3801908493
10,24450766.041110992
11,12554057.634480476
12,7557990.519251347
13,5488734.74628973
14,-3302874.2424559593
15,2290688.1033759117
16,7753454.682623863
17,-7031066.844607353
18,2506762.149615288
19,2314246.758409977
20,-2965579.5087251663
21,7007742.844289303
22,2294735.309064865
23,14856221.129456997
24,1891785.006260395
25,204633.1678967476
26,186288.13224506378
27,1028821.2596273422
28,-6673280.757944107
29,8627666.87088871
30,-1499489.0344400406
31,9807307.99848032
32,9786758.123328209
33,10951582.071246147
34,7551352.337841988
35,9211073.683544636
36,2768095.7961330414
37,-4051965.0062828064
38,2691200.1124396324
39,8934938.132779121
40,2558355.947944641
41,6103661.03180027
42,-2018418.9672112465
43,9740648.879441738
44,11324431.597344875
45,9638421.1207757
46,16208944.538606167
47,26152372.26501465
48,-296217.64518260956
49,1914486.6973075867
50,13351279.701431274
51,3233814.534035206
52,4482937.323354244
53,11210980.549308777
54,7002911.627013683
55,-5263308.928924561
56,9675573.07265997
57,6676889.128846645
58,4913872.5201973915
59,-32793.70108795166
60,10039226.962843418
61,8299546.540535927
62,-1398910.957476616
63,13761552.114494324
64,5285285.638803482
65,8086373.072386742
66,10393310.152590752
67,10961458.119882584
68,11832074.4632864
69,9916056.591653347
70,15007891.358147621
71,2657751.3785481453
72,7161799.58831358
73,3207428.8012132645
74,9212924.941309929
75,5596428.920300007
76,4583145.290735722
77,5682482.112696648
78,4893457.321515083
79,15128043.470048904
80,20198433.662145138
81,12903889.161103725
82,-8215904.216635227
83,4587116.948051453
84,17926348.455453873
85,14515013.192819118
86,9889139.562933922
87,4675807.58381319
88,4883134.355208874
89,8276695.864644527
90,-919200.6535835266
91,24041836.49281788
92,20200077.177603245
93,8534777.054533958
94,14751546.951043129
95,1693570.8825268745
96,3768924.813170433
97,7502591.886796951
98,5178096.128146172
99,28732128.352530956
100,9548777.686551094
101,22170583.418567657
102,-82234.90428256989
103,23725353.76839018
104,280918.25916290283
105,16040135.55695343
106,8522135.694272041
107,18414026.50038719
108,1749082.3807401657
109,4297154.341093063
110,13793096.805986404
111,11264330.522377968
112,8663389.938676357
113,9085807.573221684
114,13364328.65719366
115,10544412.90833807
116,10620120.38066864
117,14105714.541762352
118,15407827.61182785
119,8440050.447927952
120,6443036.289593697
121,13318809.999676228
122,-1345567.615430832
123,-3178977.9350886345
124,3340506.7601208687
125,16060434.09117508
126,-4545246.844845772
127,8193546.889530659
128,5402041.115231514
129,4707183.905488968
130,22364677.96371317
131,8145661.09129715
132,8242711.663217068
133,27791526.786201477
134,20310230.89963007
135,-3778924.3681344986
136,17414679.428641796
137,7761556.912674427
138,6424709.789634228
139,15648088.376597881
140,5640725.564651489
141,21369508.16869688
142,32609007.63512945
143,18390646.40261507
144,17808777.332063675
145,6570315.854677677
146,-1072982.0829224586
147,10683572.259789467
148,761041.539454937
149,1061204.045399189
150,4112201.341304779
151,7081499.1227321625
152,13880100.606931686
153,9863590.936320782
154,22424374.305987835
155,14697240.681179523
156,5719341.073557377
157,2425355.0907211304
158,-374248.1147351265
159,9304172.648254871
160,5223180.278699398
161,5068999.170766354
162,13322379.955999851
163,15905789.002011776
164,14480806.31262207
165,11615283.125044346
166,-1592312.8183808327
167,-5132735.032748699
168,1657839.3336133957
169,11258512.193173409
170,4239347.370700359
171,18458750.77547121
172,10112717.650329113
173,519664.09325933456
174,9204729.598496437
175,1661597.2936649323
176,11260926.608659744
177,15756279.857964516
178,4243182.681676388
179,-2762143.4538111687
180,9916707.234304905
181,21532382.996797085
182,6226302.11567688
183,1108911.9813342094
184,19775136.578084946
185,5369222.252528191
186,18058597.08792448
187,20899668.655189037
188,5331059.189748287
189,4607440.74338913
190,-2509968.4383034706
191,4623524.538567066
192,-2744664.8955597878
193,13462667.601110935
194,5884615.205927372
195,6926861.482728004
196,6002496.651596546
197,10343168.153131485
198,17149919.072741985
199,9532102.322757244
200,4356336.742459297
201,8370917.428661346
202,15456146.720881939
203,12471091.271966934
204,15804787.855328083
205,9467347.971482277
206,20244000.067501068
207,13178213.039213657
208,10019189.998949528
209,11837997.241839886
210,300057.44412755966
211,16948945.852772236
212,7583042.4014258385
213,260726.5442814827
214,2066065.7158617973
215,-1823110.3900899887
216,20281331.555324554
217,4672230.260787964
218,-875512.796517849
219,16506730.33883667
220,13889707.83003521
221,13041207.817193508
222,-811965.6178708076
223,11863870.464142323
224,14722225.320501328
225,-1306973.3430376053
226,15441332.008353233
227,-3049875.292412281
228,9461417.879817486
229,-2108826.7248449326
230,3098241.4367432594
231,6255880.657492638
232,83166.494972229
233,6591915.8121061325
234,5483152.631784916
235,11065682.497570038
236,4103841.9446458817
237,25448905.357348442
238,13369636.580308437
239,3274449.055296898
240,23143039.815181255
241,16557659.503837585
242,24848307.541209698
243,17428678.37890625
244,16086874.652742863
245,-1215127.6305232048
246,-4275983.466727257
247,8995999.577220917
248,3425275.775314331
249,9116698.987190247
250,3885547.3420362473
251,17345415.078526974
252,4838371.761004448
253,9906255.998203754
254,-3125114.7814650536
255,15291674.051189423
256,2095321.0308799744
257,16934897.760301113
258,18444409.75037718
259,1734411.7796707153
260,7813403.714747429
261,-74277.81946754456
262,3329431.9183478355
263,7552843.968486786
264,-3139502.2918634415
265,18474055.340917587
266,1815745.88235569
267,-4624719.813527584
268,2134241.395023823
269,8381393.134353161
270,-6136820.283865929
271,2761411.542225361
272,12352475.176514149
273,12841940.840594292
274,8918101.366015911
275,5415533.173316002
276,4465026.134110451
277,8720194.98000431
278,16198910.581108093
279,19036524.417369366
280,2335575.0104408264
281,4970604.56399107
282,6229519.498644352
283,-4588266.739749432
284,-740944.8756527901
285,7107722.000054359
286,8774132.44431448
287,15090608.826298237
288,3945201.266058922
289,7160467.56855154
290,-8464372.78757
291,2051637.1623749733
292,16094371.309234142
293,7357452.245783329
294,1069953.9869823456
295,-1480299.3158192635
296,15396311.063760757
297,12707976.021539688
298,-9239002.514959335
299,2987005.6494426727
300,6939743.946155071
301,5670925.384776592
302,7535345.135050297
303,1253411.077656746
304,18339720.465601444
305,12888026.158783436
306,14899915.964885712
307,21080793.167974472
308,2897439.7979106903
309,-8734850.517270565
310,8121458.3303666115
311,28528703.550258636
312,9237850.683776855
313,3358596.689137459
314,1998707.6539883614
315,8939444.078368664
316,4221463.353748798
317,17792689.687222004
318,9579021.070726871
319,8301430.970433235
320,15740615.044051647
321,13733665.920943737
322,10371132.06292057
323,6981223.412572384
324,-3318732.016275406
325,6541995.909448624
326,8949045.010738373
327,25912265.6062541
328,7909626.035768986
329,10175877.714402676
330,12480438.675997257
331,13149830.311881065
332,7592751.575455666
333,-1643036.413719654
334,4392706.430540562
335,-252574.11675834656
336,15098374.164132595
337,6175208.612552166
338,15149029.93137455
339,4963919.703336716
340,6912344.861739159
341,8010906.0897397995
342,-291403.4498963356
343,18667608.261039257
344,13535972.46030569
345,-3155834.841436863
346,11775699.88722992
347,12779244.210276127
348,10176854.64320612
349,2623377.744412899
350,11355275.002317429
351,1068403.2095894814
352,3203102.5439047813
353,6638730.548244476
354,15054357.856016636
355,5823384.161412239
356,273891.2941336632
357,7121722.000397205
358,9390178.343064308
359,-5275393.022295952
360,6119321.744033337
361,5850510.249343395
362,2299989.978477955
363,13761249.029024601
364,727087.0210871696
365,6709265.880811691
366,-3792630.559666157
367,27408807.66857624
368,6506034.275363445
369,-2676983.9883003235
370,11715523.632568836
371,17344082.828520775
372,17075027.162854195
373,7748926.460447788
374,3196258.905654907
375,11609812.983230114
376,484373.297978878
377,9004401.14369917
378,10273247.124439716
379,3410623.2203626633
380,296159.52403211594
381,7524840.553622723
382,13625092.276961327
383,9777660.597180367
384,-1668615.1412377357
385,8989874.078103065
386,15227515.363829613
387,243532.9391283989
388,3213676.522968769
389,-9361304.043904305
390,12142891.808748245
391,7014361.713265419
392,6721903.6102314
393,12351265.42525196
394,4751335.151942253
395,6500246.299265385
396,3759674.70843029
397,4634963.331127644
398,13152126.435546398
399,16667170.080478191
400,11921652.858412266
401,10632362.949585915
402,5925250.282689095
403,12426974.777619362
404,11421331.398332119
405,-1942562.4474945068
406,39988544.70629978
407,10882257.881948471
408,9524592.737891197
409,13679812.303432465
410,16435160.041596413
411,23536584.212591648
412,6978560.882086754
413,16813391.947810173
414,13303311.014410973
415,12034579.963513374
416,8030823.492823601
417,-28917.52875471115
418,26223313.974511147
419,12390901.907739162
420,4753888.813557148
421,10383320.353897095
422,23484497.617864132
423,14082539.583910465
424,2050056.7036237717
425,-3277811.2391819954
426,6424042.340662003
427,23948118.215498924
428,4695176.672785282
429,3687756.6646761894
430,6507200.680363655
431,12785555.715483189
432,6567596.402438641
433,13551872.957083702
434,404710.02461338043
435,398750.4003009796
